Region,Regions-ID,KV,Kreistyp,Wert,Bundeswert
Rheinisch-Bergischer Kr.,5378,NO,Verdichtetes Umland,2.55,3.11
Märkischer Kreis,5962,WL,Verdichtetes Umland,2.54,3.11
Rhein-Erft-Kreis,5362,NO,Verdichtetes Umland,2.53,3.11
Bonn,5314,NO,Kernstädte,2.52,3.11
Ebersberg,9175,BY,Verdichtetes Umland,2.52,3.11
Marburg-Biedenkopf,6534,HE,Ländliches Umland,2.51,3.11
Landau,7313,RP,Verdichtetes Umland,2.51,3.11
Regensburg,9362,BY,Kernstädte,2.51,3.11
Enzkreis,8236,BW,Verdichtetes Umland,2.5,3.11
Neuwied,7138,RP,Verdichtetes Umland,2.49,3.11
Saarpfalz-Kreis,10045,SL,Verdichtetes Umland,2.49,3.11
Kiel,1002,SH,Kernstädte,2.48,3.11
Lüneburg,3355,NI,Ländlicher Raum,2.48,3.11
Gütersloh,5754,WL,Verdichtetes Umland,2.48,3.11
Hochsauerlandkreis,5958,WL,Ländliches Umland,2.46,3.11
Siegen-Wittgenstein,5970,WL,Verdichtetes Umland,2.46,3.11
Köln,5315,NO,Kernstädte,2.46,3.11
Münster,5515,WL,Kernstädte,2.45,3.11
Herzogtum Lauenburg,1053,SH,Ländliches Umland,2.44,3.11
Recklinghausen,5562,WL,Verdichtetes Umland,2.43,3.11
Ludwigsburg,8118,BW,Verdichtetes Umland,2.43,3.11
Rems-Murr-Kreis,8119,BW,Verdichtetes Umland,2.43,3.11
Landsberg,9181,BY,Ländliches Umland,2.43,3.11
Frankfurt(Oder),12053,BB,Ländliches Umland,2.43,3.11
Cuxhaven,3352,NI,Ländlicher Raum,2.42,3.11
Aichach-Friedberg,9771,BY,Ländliches Umland,2.42,3.11
Warendorf,5570,WL,Verdichtetes Umland,2.41,3.11
Main-Kinzig-Kreis,6435,HE,Verdichtetes Umland,2.41,3.11
Mönchengladbach,5116,NO,Kernstädte,2.4,3.11
Wetteraukreis,6440,HE,Verdichtetes Umland,2.4,3.11
Lk.Karlsruhe,8215,BW,Verdichtetes Umland,2.38,3.11
Lübeck,1003,SH,Kernstädte,2.37,3.11
Celle,3351,NI,Ländlicher Raum,2.37,3.11
Krefeld,5114,NO,Kernstädte,2.37,3.11
Rhein-Sieg-Kreis,5382,NO,Verdichtetes Umland,2.36,3.11
Mainz-Bingen,7339,RP,Verdichtetes Umland,2.36,3.11
Lippe,5766,WL,Verdichtetes Umland,2.35,3.11
Neunkirchen,10043,SL,Verdichtetes Umland,2.35,3.11
Schwarzwald-Baar-Kreis,8326,BW,Verdichtetes Umland,2.34,3.11
Segeberg,1060,SH,Ländliches Umland,2.32,3.11
Schwäbisch Hall,8127,BW,Ländliches Umland,2.32,3.11
Neustadt,7316,RP,Verdichtetes Umland,2.31,3.11
Rotenburg,3357,NI,Ländlicher Raum,2.3,3.11
Baden-Baden,8211,BW,Verdichtetes Umland,2.3,3.11
Potsdam,12054,BB,Kernstädte,2.3,3.11
Böblingen,8115,BW,Verdichtetes Umland,2.29,3.11
Düsseldorf,5111,NO,Kernstädte,2.26,3.11
Traunstein,9189,BY,Ländliches Umland,2.26,3.11
Aschaffenburg,9661,BY,Verdichtetes Umland,2.25,3.11
Potsdam-Mittelmark,12069,BB,Ländlicher Raum,2.25,3.11
Karlsruhe,8212,BW,Kernstädte,2.24,3.11
Olpe,5966,WL,Verdichtetes Umland,2.23,3.11
Neumünster,1004,SH,Ländliches Umland,2.21,3.11
Biberach,8426,BW,Ländliches Umland,2.21,3.11
München,9162,BY,Kernstädte,2.21,3.11
Stuttgart,8111,BW,Kernstädte,2.2,3.11
Cottbus,12052,BB,Kernstädte,2.19,3.11
Coesfeld,5558,WL,Verdichtetes Umland,2.18,3.11
Unna,5978,WL,Verdichtetes Umland,2.18,3.11
Rheingau-Taunus-Kr.,6439,HE,Verdichtetes Umland,2.17,3.11
Reutlingen,8415,BW,Verdichtetes Umland,2.17,3.11
Lindau,9776,BY,Verdichtetes Umland,2.17,3.11
Hamburg,2000,HH,Kernstädte,2.16,3.11
Mülheim,5117,NO,Kernstädte,2.16,3.11
Waldshut,8337,BW,Ländliches Umland,2.16,3.11
Lk.München,9184,BY,Verdichtetes Umland,2.16,3.11
Rhein-Kreis Neuss,5162,NO,Verdichtetes Umland,2.14,3.11
Lk.Offenbach,6438,HE,Verdichtetes Umland,2.14,3.11
Starnberg,9188,BY,Verdichtetes Umland,2.14,3.11
Fürstenfeldbruck,9179,BY,Verdichtetes Umland,2.13,3.11
Stade,3359,NI,Ländliches Umland,2.12,3.11
Hochtaunuskreis,6434,HE,Verdichtetes Umland,2.1,3.11
Memmingen,9764,BY,Ländliches Umland,2.09,3.11
Solingen,5122,NO,Kernstädte,2.07,3.11
Bodenseekreis,8435,BW,Verdichtetes Umland,2.06,3.11
